City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Salamiyah,67.87,39,0,6.85,SY,35.0113,37.0532,2022-10-29 20:00:41
69,Malanje,67.26,82,99,3.6,AO,-9.5402,16.341,2022-10-29 20:00:42
70,Rikitea,73.98,80,100,7.25,PF,-23.1203,-134.9692,2022-10-29 20:00:42
71,Ribeira Grande,66.6,68,40,17.27,PT,38.5167,-28.7,2022-10-29 20:00:43
72,Kamenka,40.93,94,98,13.94,RU,51.3223,42.7678,2022-10-29 20:00:43
73,Ziguinchor,80.22,76,4,5.1,SN,12.5833,-16.2719,2022-10-29 20:00:44
74,Nabire,75.58,91,100,1.16,ID,-3.3667,135.4833,2022-10-29 19:59:49
75,Tomas Oppus,80.42,85,100,5.91,PH,10.2506,124.9831,2022-10-29 20:00:44
76,Atuona,77.54,73,0,16.73,PF,-9.8,-139.0333,2022-10-29 20:00:45
77,Creston,64.36,34,0,4.61,US,41.0586,-94.3614,2022-10-29 20:00:45
78,New Albany,73.15,44,75,6.91,US,38.2856,-85.8241,2022-10-29 20:00:46
79,Sanming,62.65,95,58,3.0,CN,26.2486,117.6186,2022-10-29 20:00:46
80,Punta Arenas,42.12,81,45,29.55,CL,-53.15,-70.9167,2022-10-29 20:00:46
81,Zhuhai,74.98,69,20,16.11,CN,22.2769,113.5678,2022-10-29 20:00:47
82,Teguldet,24.57,86,77,5.21,RU,57.3064,88.1667,2022-10-29 20:00:47
83,Lima,61.05,77,100,8.05,PE,-12.0432,-77.0282,2022-10-29 19:57:03
84,Banamba,81.07,23,100,5.97,ML,13.55,-7.45,2022-10-29 20:00:48
85,Salalah,74.8,70,7,2.13,OM,17.0151,54.0924,2022-10-29 20:00:49
86,Portland,57.83,95,100,4.61,US,45.5234,-122.6762,2022-10-29 20:00:46
87,Puerto Ayora,69.55,88,99,5.01,EC,-0.7393,-90.3518,2022-10-29 20:00:49
88,Arraial Do Cabo,85.96,74,20,16.11,BR,-22.9661,-42.0278,2022-10-29 19:56:09
89,Mataura,55.04,95,100,2.95,NZ,-46.1927,168.8643,2022-10-29 20:00:50
90,Hilo,80.26,87,2,5.01,US,19.7297,-155.09,2022-10-29 20:01:50
91,Lebu,51.85,88,100,19.06,CL,-37.6167,-73.65,2022-10-29 20:01:51
92,Poum,78.1,77,0,4.25,NC,-20.2333,164.0167,2022-10-29 19:57:35
93,Thompson,41.16,80,100,6.15,CA,55.7435,-97.8558,2022-10-29 20:01:51
